Employee_ID,Name,Email,Phone,Department,Salary,Joining_Date,City,Performance_Score
EMP0053,Mary Johnson,thomasheather@davidson.net,436.091.9259x70572,Marketing,71455.80986,,Colestad,1
EMP0054,Andrea Haynes,abush@gmail.com,,Marketing,37815,03-11-2021,Port Vickiefort,3
EMP0055,Daniel West,timothygarcia@jones.com,001-390-900-4103x02823,Marketing,53318,,Joannaville,2
EMP0056,Louis Mcdonald,laurahoffman@thomas.info,+1-469-330-7175x70661,Sales,78526,,Millerfurt,1
EMP0058,Elizabeth Johnson MD,lstevens@banks-townsend.com,001-437-105-3913x69975,Operations,71455.80986,,Potterport,2
EMP0059,Elizabeth Clark,valeriepalmer@acevedo-palmer.com,001-034-237-2863x37345,Operations,37202,,Adamshaven,1
EMP0061,Unknown,michael52@gmail.com,453.989.6764x16002,Finance,71455.80986,04-04-1974,Halltown,5
EMP0063,Adam Vega,martinezcourtney@taylor-lewis.com,001-498-880-6599x5397,Sales,46661,,Lake Christian,5
EMP0064,Christopher Schwartz,gmcclure@gmail.com,950.511.6271,Marketing,119001,09-11-2014,East Michaelfort,4
EMP0065,Elizabeth Pollard,mooremichelle@gmail.com,001-411-807-7942x0934,Sales,113012,11-01-2001,New Williamtown,1
EMP0066,Richard Wright,bclarke@davis-king.com,+1-733-921-0443x886,IT,45058,,Thomasport,5
EMP0067,Julie Hill,rcarroll@gmail.com,922-025-0807x325,Marketing,35472,,South Richard,5
EMP0068,Gabrielle Castaneda,nicoleholland@hotmail.com,247-746-4901x31681,Sales,71455.80986,08-03-1985,Jacksonmouth,4
EMP0069,Charles Garcia,zacharygomez@andrews-yates.com,,Finance,104349,,West Jayland,2
EMP0070,Megan Terrell,coletracie@smith.net,-3884,HR,112650,17-12-2007,New James,4
EMP0071,Stephanie Jones,,,Operations,71455.80986,,East Richard,2
EMP0073,Kelly Anderson,kevinsanchez@hampton-bennett.net,001-290-138-5311x4821,HR,71455.80986,,Amandaville,5
EMP0074,Joseph Garrett,qtucker@yahoo.com,432-117-8030x6152,Sales,87634,02-11-1997,Nancymouth,2
EMP0075,Wendy Vasquez,katherine42@hotmail.com,(288)468-0871,HR,55171,30-10-2015,Boltonbury,1
EMP0076,Alison Taylor,lisa65@gmail.com,(794)569-7742x5183,Finance,71455.80986,15-07-2005,Christinafort,2
EMP0077,Nicholas Buckley,douglas93@hotmail.com,595-783-5312x792,Sales,71455.80986,,Hickmanchester,4
EMP0079,Unknown,ellisamber@nunez-hale.com,333.056.9055x1931,Finance,71455.80986,,Clarkside,4
EMP0080,Robert Barker,,,Operations,71455.80986,,Port Michelemouth,1
EMP0081,Kendra Gilmore,schultzwyatt@hotmail.com,429-061-4711x51861,Finance,50264,16-10-1988,Meganmouth,1
EMP0082,Unknown,bweiss@hotmail.com,,Sales,97178,,East Kathryn,3
EMP0083,Michael Wise,lwhite@murray.biz,+1-956-006-5717x6120,HR,71455.80986,,Lake Jessica,4
EMP0085,Stacy Lozano,mary08@gmail.com,(495)251-1073x75859,IT,71455.80986,,Reidton,4
EMP0086,Charles Jackson,sydneysutton@hotmail.com,001-956-638-9805x3563,IT,56006,20-07-1990,Ortizfurt,5
EMP0087,Unknown,elizabethmoran@hotmail.com,+1-049-083-6549x37849,HR,71455.80986,,Alfredmouth,3
EMP0088,Alexis Clark,kwatkins@hudson.com,2859214844,HR,117300,07-10-1973,West Emilyborough,5
EMP0089,Jennifer Chavez,,(672)378-6857x80589,Sales,71455.80986,,Seanstad,5
EMP0090,Donna Walker,danielsmith@yahoo.com,001-445-377-5606x2873,Sales,71455.80986,,Seanmouth,3
EMP0091,Shawn Peterson,kfry@clark-clark.org,,HR,84282,28-04-1984,Gillespieberg,4
EMP0092,Barbara White,rhondabarrett@cruz-rowland.com,769.196.7476,IT,105264,07-07-2013,Nealmouth,5
EMP0093,David Spencer,mleon@yahoo.com,+1-093-294-6685x541,Operations,78316,09-12-2006,West Michael,1
EMP0094,Megan Bowman,catherine64@gmail.com,001-205-350-1932x7311,HR,65976,05-07-1996,West Angelaport,1
EMP0095,Carl Sosa,jeffreycohen@hotmail.com,,Operations,103627,,Lake Dakotamouth,2
EMP0097,Daniel Grant,andrewross@miller.com,+1-606-707-5203x539,HR,115769,,Lake Lisaborough,5
EMP0098,Allen Woods,yedwards@campos.com,(828)538-2103,Finance,32152,,Lake Douglas,1
EMP0099,Vanessa Holloway,smiller@gmail.com,+1-412-382-5991x138,Operations,114127,,Lake Cory,4
EMP0101,Michael Cooke,holtcheryl@kirk.com,+1-337-454-4194x87786,IT,61274,02-02-2023,North Caseymouth,4
EMP0102,Miss Alexis Garner,,-6169,Marketing,71455.80986,30-07-1973,Lake Kevinfurt,4
EMP0103,Gabrielle Mccann,patrickbrown@yahoo.com,(419)371-1397,IT,68359,,East Jessicaland,2
EMP0104,Mary Lowe,priscillajones@gmail.com,001-697-841-0074,Operations,71455.80986,,Ashleyburgh,3
EMP0105,Tony Rosario,normansheena@hodges-morales.net,7879857358,Sales,31110,,Taylorberg,5
EMP0106,Stephen Webb,,416.712.7188x84294,Marketing,60417,,South Jamesview,3
EMP0107,Jacob Gonzalez,brandonjohnson@hotmail.com,(596)292-5457,Sales,27687,,Crystalshire,1
EMP0108,Zachary Wilson,mckenziejennifer@gmail.com,(340)133-5469x901,Finance,38549,,New Logan,5
EMP0109,Robert Molina,brendaross@reynolds-rodriguez.info,(545)554-6025x87481,Operations,71455.80986,14-11-2010,Margaretside,3
EMP0111,Unknown,jmartin@yahoo.com,,Sales,71455.80986,,Christinebury,2
EMP0113,Ashley Curry MD,perrystephanie@gmail.com,,HR,78818,21-02-1971,Lake Richardberg,3
EMP0114,Bradley Garcia,jessicagutierrez@williams-graham.com,4590094664,IT,71455.80986,,Lopezton,1
EMP0115,Leslie Garcia,,+1-486-880-7108x88240,IT,108824,07-03-1994,Seanland,5
EMP0116,Kevin Mason,spencerbenjamin@hotmail.com,001-705-357-3675x9533,HR,27539,15-03-1999,Lake Matthewstad,5
EMP0117,Unknown,tammy09@watkins.com,954-461-7873,Operations,67038,,Garciaville,1
EMP0118,Valerie Harrell,,746.538.2287x07450,HR,91744,13-10-2002,Smithmouth,3
EMP0120,Mathew Mullins,lisabean@hawkins.org,001-109-980-4399,Sales,33090,14-01-1983,Bakerview,5
EMP0121,Thomas Bush,cathy60@hotmail.com,,HR,71455.80986,12-06-2000,New Rebecca,5
EMP0122,Ashley Hansen,danielgates@lewis-johnson.com,(799)926-0008x010,Finance,82329,01-07-2001,Port Mary,1
EMP0123,Barbara Caldwell,briangibson@wallace-johnson.net,001-484-683-2139,Operations,71455.80986,,West Timothymouth,2
EMP0125,Breanna Gonzalez,marc05@lynch.com,634-506-2188,Marketing,71455.80986,,Campbellstad,2
EMP0126,Brenda Ho,tammy04@gmail.com,+1-800-053-1313x02748,IT,71455.80986,,New Alexis,1
EMP0128,Erin Jones,stephen34@owens-williams.org,001-104-823-4697x111,IT,71455.80986,,Jamiebury,3
EMP0129,Rebecca Long,jill04@yahoo.com,001-070-410-1198x9084,Marketing,71455.80986,17-07-2000,East Kimberlyberg,2
EMP0130,Bryan Farmer,johnsonvincent@martin.com,058-304-3766,HR,71455.80986,07-05-1989,Lake Christopher,3
EMP0133,Deborah Welch,cameron41@gmail.com,(581)827-6600x8190,IT,71455.80986,,Kimberlyview,5
EMP0135,Emily Ritter,,088-970-4193,HR,105317,,Finleyberg,2
EMP0136,Sabrina Allen,vsmith@stevenson.com,197-699-5484x385,HR,71455.80986,,Port Michael,5
EMP0140,Mr. Robert Morrison III,nsims@gomez.net,+1-197-653-4466x8822,Operations,113233,,Meyerfort,1
EMP0141,David Alvarez,david29@willis.com,,Sales,56717,08-09-1985,Lake Williamview,4
EMP0142,Veronica Smith,rvalenzuela@hotmail.com,+1-128-135-3667x7952,Sales,111834,,Pottschester,5
EMP0145,Joseph Huffman,,(742)625-2651x9478,IT,71455.80986,,West John,1
EMP0146,Erica Castillo,gary38@proctor.com,001-021-687-9565,HR,71455.80986,,Port Josephside,5
EMP0147,Christina Johnston,,001-163-211-9947x979,Finance,71455.80986,,New Alicia,5
EMP0148,Brian Velasquez,lisa56@graham.com,860.805.2488x5875,Finance,71455.80986,,South Melissafort,4
EMP0149,Laura Chaney,mfletcher@wright.com,(028)353-7958x65621,Operations,71455.80986,06-10-1975,Samuelborough,3
EMP0150,Heidi Lee,gwhite@long.com,192600860,Marketing,68561,29-04-1992,Burkeside,4
EMP0151,Unknown,vasqueztaylor@hernandez.com,,HR,58832,,New Roberta,5
EMP0152,Anna Smith,lynncooper@hotmail.com,376-396-1529,IT,71455.80986,14-05-1998,Debrachester,3
EMP0153,Unknown,wray@yahoo.com,+1-276-390-4793x27229,Sales,71455.80986,,Susanfurt,4
EMP0154,Theresa Bennett,jamiesimmons@gmail.com,001-060-949-2097,HR,71455.80986,19-01-2019,Kylieton,3
EMP0155,Aaron Bennett,zkelly@gmail.com,(395)172-1004x36494,Operations,62355,18-08-1975,Johnsonborough,5
EMP0156,Sandra Torres,,,Finance,71455.80986,02-03-2024,Ruthside,5
EMP0157,Susan Morris,gmartin@brown-adams.net,(300)225-1803,Operations,71455.80986,23-01-2022,North Travisfurt,2
EMP0158,Marilyn Hansen,wongjennifer@yahoo.com,5375835222,Finance,52273,,Martinezville,1
EMP0160,Mr. Ryan Moore,velazquezstephen@hotmail.com,+1-650-408-7926x432,Operations,98842,,Owensport,3
EMP0161,Diana Lopez,nolankathryn@gmail.com,8618806595,Finance,71455.80986,09-12-1985,Lake Francisco,2
EMP0162,Kevin Love,bradsmith@yahoo.com,,Marketing,71455.80986,,Deanborough,4
EMP0166,Ryan Vega,michaelfarley@henry-hicks.com,001-470-482-2224,HR,71455.80986,,New Dianeborough,3
EMP0167,Joshua Carpenter,jasonmiller@pacheco.biz,(958)794-6843,HR,82429,,New Matthew,3
EMP0168,Amy Diaz,mcgeeleah@gmail.com,330-840-2799,Marketing,71455.80986,,Drakeberg,3
EMP0169,Mitchell Swanson,debbie83@thomas-baker.org,+1-580-811-8421x151,HR,71455.80986,03-11-1978,Smithhaven,2
EMP0170,Diane Smith,,(187)045-8144,Marketing,102386,25-09-1973,New Judithport,1
EMP0171,Mrs. Taylor Roberts,cday@gmail.com,6752288652,IT,71455.80986,,Seanfurt,5
EMP0172,Erica Moore,fsutton@gmail.com,+1-727-589-9280x0560,Sales,71455.80986,,Suarezfort,5
EMP0175,Linda Davis,aaron72@hotmail.com,-9251,IT,45027,,Rodriguezchester,3
EMP0176,Scott Tucker,andersonbrianna@ramirez.com,001-363-289-3240x1328,Finance,33553,,East Jeffrey,2
EMP0177,Jose Martin,kennedynatasha@wright-crane.com,5092992456,IT,71455.80986,,East Brianmouth,2
EMP0178,Mary Chandler,hartian@carter.biz,+1-961-564-5401x38419,IT,115335,,Evansbury,5
EMP0179,Jared Mccullough,mckaydawn@kirk-miller.com,907.162.4512,Sales,71455.80986,,Lewiston,3
EMP0180,Chase Long,ule@rice.info,(719)236-0216x70292,Operations,71455.80986,,Jamiestad,4
EMP0181,Andrew Nunez,meyersbrian@wright.net,879-038-1862x80148,Marketing,71455.80986,02-03-1986,North Jason,5
EMP0182,Michael Daniels,anthonygreen@shaffer.com,017-711-9810,IT,100600,,Amandaborough,3
EMP0183,Unknown,,,Finance,71455.80986,,Thomasborough,2
EMP0184,Unknown,dhenson@gmail.com,+1-873-192-7479x5762,Marketing,71455.80986,18-08-1983,East Lynnmouth,4
EMP0186,Thomas Mayo,weberdwayne@yahoo.com,,HR,39895,,Brownburgh,4
EMP0188,Mrs. Casey Smith MD,ibennett@bradley-hernandez.com,4973404787,Marketing,97020,,West Stephanieville,4
EMP0189,Unknown,tamarakline@hotmail.com,001-986-114-9146x7292,IT,71455.80986,,Carterfurt,3
EMP0190,Sarah Johnson,jonathan36@frey.com,,Marketing,79198,22-10-2020,Lake Annaton,4
EMP0191,Angela Payne,jenningsnorma@jenkins-mendoza.com,(657)093-4744,Operations,71455.80986,29-09-2020,South Alejandraview,5
EMP0192,Jacob Clark,gibsongeorge@bowers-bailey.biz,(519)243-1885,Sales,72230,05-09-1991,Port Amymouth,1
EMP0193,Benjamin Hawkins,lindacox@yahoo.com,843.242.3502x79975,Marketing,71455.80986,,New Jackchester,3
EMP0194,Nicole Evans,millerstephen@armstrong.biz,,HR,97397,13-05-2013,Freyville,4
EMP0196,Lisa Parks,kevin63@noble.org,061-825-5997x9642,Marketing,75092,28-01-2023,Patriciaburgh,1
EMP0197,Patricia Harris,,625.780.9347,Operations,68046,,East Joanne,4
EMP0198,Hannah Phillips,crystal44@yahoo.com,+1-285-128-0845x652,Finance,71455.80986,,North Jasonfort,2
EMP0199,Unknown,michaelpalmer@olson.com,-5111,Marketing,71455.80986,,North Ernest,2
EMP0200,Rebekah Chavez,charlottewilliams@terry.com,768-354-2255,Sales,103745,,Port Mary,4
EMP0201,Benjamin Barton,amanda86@yahoo.com,(787)291-4611x787,HR,71455.80986,,Christinaside,1
EMP0203,William Mills,jillortiz@yahoo.com,(348)397-0063x206,HR,71455.80986,,Lukestad,1
EMP0204,Catherine Alvarado,candace37@gmail.com,+1-428-536-4318x25227,Finance,71455.80986,,South Janiceberg,2
EMP0205,Brian Buck,brandynelson@yahoo.com,(436)459-2975x810,HR,91855,,Angelafort,4
EMP0207,Jennifer White,testrada@saunders.com,350-520-3666,IT,71455.80986,,West Ian,1
EMP0208,Ryan Valentine,jason83@gmail.com,318-401-0210,Operations,74493,,Lewismouth,2
EMP0209,Jennifer Roberts,doylejason@yahoo.com,001-081-664-6059x034,Sales,49700,,Michelleside,3
EMP0210,Deborah Hodges,charles10@yahoo.com,978.955.4685,Marketing,71455.80986,,East Amber,4
EMP0211,Erin Mooney,zpeters@hotmail.com,4130719666,Finance,36230,05-07-1998,Port Holly,2
EMP0212,Daniel Mitchell,yharmon@may.net,711-898-3706,Operations,34035,,New Kaylaview,2
EMP0213,Audrey Mitchell,hsloan@christensen.net,(890)898-7038x15441,IT,71455.80986,,Walkerbury,3
EMP0215,Michael Campbell,svalenzuela@yahoo.com,(713)896-7604x50613,IT,71455.80986,,Ericberg,5
EMP0216,Matthew Blake,peter74@martinez-watts.com,(170)198-1309x334,HR,98511,,Port Edwardmouth,1
EMP0217,Laura Cain,sblack@yahoo.com,226.241.9546x2102,HR,88507,04-04-2003,New Danielstad,3
EMP0218,Melissa Williamson,brianmorales@hotmail.com,(454)365-7723x220,IT,90898,17-06-2021,Jenkinsport,2
EMP0219,Michael Hayes,smiller@gmail.com,+1-511-188-3859x62056,Marketing,108309,,Georgebury,2
EMP0220,Eric Rogers,michael91@baker.com,383-506-3363x31840,Sales,71455.80986,,West Lisa,3
EMP0221,Angela Bonilla,sarahfields@yahoo.com,+1-314-001-4890x218,HR,100776,16-03-2010,Williamfort,2
EMP0223,Marc Tate,brianlane@hotmail.com,657-409-9574x821,HR,71455.80986,03-07-1991,West Aaronside,4
EMP0224,Unknown,zward@yahoo.com,489-035-4493x4833,Finance,57713,,Jessicastad,2
EMP0225,Jessica Blake,marycooper@rowland.org,386.893.9108x00096,IT,55753,03-03-2003,Katelynview,1
EMP0226,Jamie Chen,yoderwilliam@stephenson-finley.com,+1-253-852-0311x2342,HR,71455.80986,,Port Jamesbury,4
EMP0227,Jeff Arnold,pdavis@vasquez.org,323.749.9460x59137,Operations,30841,22-08-2001,New Aaron,1
EMP0228,Amy Rodriguez,alexander46@sanders-grant.com,603-911-4594x14351,Sales,71455.80986,,Garyville,2
EMP0229,Michelle Miller,ztaylor@edwards.com,011-957-4975,Finance,94457,,Jenniferville,2
EMP0230,Martin Wright,harriscameron@yahoo.com,+1-683-923-7608x25351,Operations,71455.80986,,Andreashire,3
EMP0232,Danielle Bryant,romeromegan@hotmail.com,,Operations,71455.80986,12-12-2002,Joshuafort,5
EMP0233,Phillip Singh,austin76@campbell-adams.biz,205.133.7026x6870,IT,104859,,Charlesport,1
EMP0234,Emily Rojas PhD,qdeleon@harvey.com,-8317,Marketing,30050,,Jamieland,3
EMP0235,Connor Santos,jamesmorton@gmail.com,401.216.2010,IT,59325,12-05-1983,Brownbury,5
EMP0236,Robert Bernard,martinashley@wood.com,,Marketing,119925,27-01-2021,West Kyle,5
EMP0237,Bradley Heath,tammy66@gmail.com,055.973.2383x377,Finance,46851,08-06-1992,Lake Lisa,3
EMP0238,Donna Smith,tiffany92@hotmail.com,(754)523-2956x4777,IT,71455.80986,11-03-2003,North Stevenstad,1
EMP0239,Michael Lewis,mitchelldecker@miller.com,(316)812-1517,Sales,73146,,Natalieberg,5
EMP0241,Briana Graham,odunlap@yahoo.com,,IT,35039,02-09-2007,Fullerside,3
EMP0242,Monica Hicks,ygross@gmail.com,(774)045-5761x287,IT,71455.80986,28-01-1976,Virginiahaven,5
EMP0246,Carol Ball,davischristopher@ramirez-miller.biz,938.790.5362,IT,71455.80986,27-05-2009,Juantown,1
EMP0247,Garrett Marks,hubbarddebra@powell-delgado.com,001-832-989-3573,Operations,48524,,South Amystad,3
EMP0248,Bradley Olson,michael68@sims-carter.info,589.867.8445x20965,Operations,71455.80986,,Port Stuartchester,3
EMP0249,Unknown,riverajesse@parsons.com,785.363.6459,Sales,60226,,Wendyton,3
EMP0250,Christopher Brennan,robertsdanielle@gmail.com,,Sales,71455.80986,,Lake Robertville,2
